id,title,section_number,hierarchy,hyperlink,text
CLC-1,Short Title: Short title,1,Canada Labour Code,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339480,"Section 1 This Act may be cited as the Canada Labour Code . R.S., c. L-1, s. 1"
CLC-2,Interpretation: Definitions,2,Canada Labour Code,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339485,"Section 2 In this Act, Board means the Canada Industrial Relations Board established by section 9; ( Conseil ) external adjudicator external adjudicator means a person appointed under subsection 12.001(1); ( arbitre externe ) federal work, undertaking or business federal work, undertaking or business means any work, undertaking or business that is within the legislative authority of Parliament, including, without restricting the generality of the foregoing, (a) a work, undertaking or business operated or carried on for or in connection with navigation and shipping, whether inland or maritime, including the operation of ships and transportation by ship anywhere in Canada, (b) a railway, canal, telegraph or other work or undertaking connecting any province with any other province, or extending beyond the limits of a province, (c) a line of ships connecting a province with any other province, or extending beyond the limits of a province, (d) a ferry between any province and any other province or between any province and any country other than Canada, (e) aerodromes, aircraft or a line of air transportation, (f) a radio broadcasting station, (g) a bank or an authorized foreign bank within the meaning of section 2 of the Bank Act , (h) a work or undertaking that, although wholly situated within a province, is before or after its execution declared by Parliament to be for the general advantage of Canada or for the advantage of two or more of the provinces, (i) a work, undertaking or business outside the exclusive legislative authority of the legislatures of the provinces, and (j) a work, undertaking or activity in respect of which federal laws within the meaning of section 2 of the Oceans Act apply pursuant to section 20 of that Act and any regulations made pursuant to paragraph 26(1)(k) of that Act; ( entreprises fédérales ) Head Head means the Head of Compliance and Enforcement designated under subsection 122.21(1); ( chef ) Minister Minister means the Minister of Labour. ( ministre ) R.S., 1985, c. L-2, s. 2 1990, c. 44, s. 17 1996, c. 31, s. 89 1999, c. 28, s. 169 2017, c. 20, s. 318 2018, c. 27, s. 535"
CLC-3,Interpretation: Definitions,3,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339511,"Section 3 (1) In this Part, arbitration board means an arbitration board constituted by or pursuant to a collective agreement or by agreement between the parties to a collective agreement and includes an arbitration board the chairperson of which is appointed by the Minister under this Part; ( conseil d’arbitrage ) arbitrator arbitrator means a sole arbitrator selected by the parties to a collective agreement or appointed by the Minister under this Part; ( arbitre ) bargaining agent bargaining agent means (a) a trade union that has been certified by the Board as the bargaining agent for the employees in a bargaining unit and the certification of which has not been revoked, or (b) any other trade union that has entered into a collective agreement on behalf of the employees in a bargaining unit (i) the term of which has not expired, or (ii) in respect of which the trade union has, by notice given pursuant to subsection 49(1), required the employer to commence collective bargaining; ( agent négociateur ) bargaining unit bargaining unit means a unit (a) determined by the Board to be appropriate for collective bargaining, or (b) to which a collective agreement applies; ( unité de négociation ) Board Board [Repealed, 2017, c. 20, s. 319] collective agreement collective agreement means an agreement in writing entered into between an employer and a bargaining agent containing provisions respecting terms and conditions of employment and related matters; ( convention collective ) conciliation board conciliation board means a board established by the Minister under paragraph 72(1)(c); ( commission de conciliation ) conciliation commissioner conciliation commissioner means a person appointed by the Minister under paragraph 72(1)(b); ( commissaire-conciliateur ) conciliation officer conciliation officer means a person appointed by the Minister under paragraph 72(1)(a); ( conciliateur ) dependent contractor dependent contractor means (a) the owner, purchaser or lessee of a vehicle used for hauling, other than on rails or tracks, livestock, liquids, goods, merchandise or other materials, who is a party to a contract, oral or in writing, under the terms of which they are (i) required to provide the vehicle by means of which they perform the contract and to operate the vehicle in accordance with the contract, and (ii) entitled to retain for their own use from time to time any sum of money that remains after the cost of their performance of the contract is deducted from the amount they are paid, in accordance with the contract, for that performance, (b) a fisher who, pursuant to an arrangement to which the fisher is a party, is entitled to a percentage or other part of the proceeds of a joint fishing venture in which the fisher participates with other persons, and (c) any other person who, whether or not employed under a contract of employment, performs work or services for another person on such terms and conditions that they are, in relation to that other person, in a position of economic dependence on, and under an obligation to perform duties for, that other person; ( entrepreneur dépendant ) dispute dispute means a dispute arising in connection with the entering into, renewing or revising of a collective agreement, in respect of which notice may be given to the Minister under section 71; ( différend ) employee employee means any person employed by an employer and includes a dependent contractor and a private constable, but does not include a person who performs management functions or is employed in a confidential capacity in matters relating to industrial relations; ( employé ) employer employer means (a) any person who employs one or more employees, and (b) in respect of a dependent contractor, such person as, in the opinion of the Board, has a relationship with the dependent contractor to such extent that the arrangement that governs the performance of services by the dependent contractor for that person can be the subject of collective bargaining; ( employeur ) employers’ organization employers’ organization means any organization of employers the purposes of which include the regulation of relations between employers and employees; ( organisation patronale ) lockout lockout includes the closing of a place of employment, a suspension of work by an employer or a refusal by an employer to continue to employ a number of their employees, done to compel their employees, or to aid another employer to compel that other employer’s employees, to agree to terms or conditions of employment; ( lock-out ) parties parties means (a) in relation to the entering into, renewing or revising of a collective agreement and in relation to a dispute, the employer and the bargaining agent that acts on behalf of the employer’s employees, (b) in relation to a difference relating to the interpretation, application, administration or alleged contravention of a collective agreement, the employer and the bargaining agent, and (c) in relation to a complaint to the Board under this Part, the complainant and any person or organization against whom or which the complaint is made; ( parties ) private constable private constable means a person appointed as a police constable under Part IV.1 of the Railway Safety Act ; ( agent de police privé ) professional employee professional employee means an employee who (a) is, in the course of their employment, engaged in the application of specialized knowledge ordinarily acquired by a course of instruction and study resulting in graduation from a university or similar institution, and (b) is, or is eligible to be, a member of a professional organization that is authorized by statute to establish the qualifications for membership in the organization; ( membre de profession libérale ) strike strike includes a cessation of work or a refusal to work or to continue to work by employees, in combination, in concert or in accordance with a common understanding, and a slowdown of work or other concerted activity on the part of employees in relation to their work that is designed to restrict or limit output; ( grève ) trade union trade union means any organization of employees, or any branch or local thereof, the purposes of which include the regulation of relations between employers and employees; ( syndicat ) unit unit means a group of two or more employees. ( unité ) Marginal note: Employee status preserved (2) No person ceases to be an employee within the meaning of this Part by reason only of their ceasing to work as the result of a lockout or strike or by reason only of their dismissal contrary to this Part. R.S., 1985, c. L-2, s. 3 1996, c. 10, s. 234 1998, c. 10, s. 182, c. 26, ss. 1, 59(E) 1999, c. 31, ss. 149(E), 162(E) 2007, c. 19, s. 60 2015, c. 3, s. 15(F) 2017, c. 20, s. 319"
CLC-4,Application: Application of Part,4,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339558,"Section 4 This Part applies in respect of employees who are employed on or in connection with the operation of any federal work, undertaking or business, in respect of the employers of all such employees in their relations with those employees and in respect of trade unions and employers’ organizations composed of those employees or employers. R.S., c. L-1, s. 108 1972, c. 18, s. 1 Marginal note: Crown corporations"
CLC-5,Application: Crown corporations | Canadian carriers,5,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339562,"Section 5 (1) This Part applies in respect of any corporation established to perform any function or duty on behalf of the Government of Canada and in respect of the employees of any such corporation, except any such corporation, and the employees thereof, that the Governor in Council excludes from the operation of this Part. Marginal note: Limitation (2) The Governor in Council may, pursuant to subsection (1), exclude from the operation of this Part only those corporations in respect of which a minister of the Crown, the Treasury Board or the Governor in Council is authorized to establish or to approve some or all of the terms and conditions of employment of persons employed therein. Marginal note: Addition of name to Schedule (3) Where the Governor in Council excludes any corporation from the operation of this Part, the Governor in Council shall, by order, add the name of that corporation to Schedule IV or V to the Financial Administration Act . R.S., 1985, c. L-2, s. 5 2003, c. 22, s. 107 Previous Version Marginal note: Canadian carriers Section 5.1 This Part applies in respect of any Canadian carrier, as defined in section 2 of the Telecommunications Act , that is an agent of Her Majesty in right of a province and in respect of the employees of the carrier. 1993, c. 38, s. 88 Marginal note: Employees of Her Majesty"
CLC-6,Application: Employees of Her Majesty | Presumption | Burden of proof,6,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339575,"Section 6 Except as provided by section 5, this Part does not apply in respect of employment by Her Majesty in right of Canada. 1972, c. 18, s. 1 Marginal note: Presumption Section 6.1 (1) A person — other than a person who performs management functions or is employed in a confidential capacity in matters relating to industrial relations — who is paid remuneration by an employer is presumed to be their employee unless the contrary is proved by the employer. Marginal note: Exception (2) The presumption does not apply for the purposes of a prosecution under this Part. 2024, c. 17, s. 235 Marginal note: Burden of proof Section 6.2 If, in any proceeding under this Part other than a prosecution, an employer alleges that a person is not their employee, the burden of proof is on the employer. 2024, c. 17, s. 235"
CLC-7,Major Projects: Major projects,7,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339580,"Section 7 Nothing in this Part shall be construed so as to prevent the establishment of agreements on a project basis and where all the parties in a collective bargaining relationship identify themselves to the Minister as being engaged in a project that the Minister determines to be a major project, the Minister and the Board shall act as expeditiously as possible to facilitate the collective bargaining process involving those parties. 1984, c. 39, s. 22"
CLC-8,DIVISION I-Basic Freedoms: Employee freedoms,8,Canada Labour Code / PART I-Industrial Relations,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339585,"Section 8 (1) Every employee is free to join the trade union of their choice and to participate in its lawful activities. Marginal note: Employer freedoms (2) Every employer is free to join the employers’ organization of their choice and to participate in its lawful activities. R.S., 1985, c. L-2, s. 8 1999, c. 31, s. 162(E)"
CLC-9,Establishment and Organization: Establishment of Board,9,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339594,"Section 9 (1) A board is established, to be known as the Canada Industrial Relations Board. Marginal note: Composition of Board (2) The Board is composed of (a) a Chairperson, to hold office on a full-time basis; (b) two or more Vice-Chairpersons, to hold office on a full-time basis, and any other Vice-Chairpersons, to hold office on a part-time basis, that the Governor in Council considers necessary to discharge the responsibilities of the Board; (c) not more than six other members, of which not more than three represent employees, and of which not more than three represent employers, to hold office on a full-time basis; (d) any other part-time members, representing, in equal numbers, employees and employers, that the Governor in Council considers necessary to discharge the responsibilities of the Board; and (e) any other full-time or part-time members that the Governor in Council considers necessary to assist the Board in carrying out its functions under Parts II, III and IV. R.S., 1985, c. L-2, s. 9 1998, c. 26, s. 2 2017, c. 20, s. 320 Previous Version Marginal note: Appointment of Chairperson and Vice-Chairpersons"
CLC-10,Establishment and Organization: Appointment of Chairperson and Vice-Chairpersons | Residence of members,10,Canada Labour Code / PART I-Industrial Relations / DIVISION II-Canada Industrial Relations Board,https://laws-lois.justice.gc.ca/eng/acts/l-2/FullText.html#339606,"Section 10 (1) The Chairperson and Vice-Chairpersons of the Board are to be appointed by the Governor in Council, on the recommendation of the Minister, to hold office during good behaviour for terms not exceeding five years each, subject to removal by the Governor in Council at any time for cause. Marginal note: Appointment of other members (2) Subject to subsection (3), the members of the Board other than the Chairperson and the Vice-Chairpersons are to be appointed by the Governor in Council on the recommendation of the Minister after consultation by the Minister with the organizations representative of employees or employers that the Minister considers appropriate, to hold office during good behaviour for terms not exceeding three years each, subject to removal by the Governor in Council at any time for cause. Marginal note: Exception (3) The members of the Board appointed pursuant to paragraph 9(2)(e) are to be appointed by the Governor in Council, on the recommendation of the Minister, to hold office during good behaviour for terms not exceeding three years each, subject to removal by the Governor in Council at any time for cause. Marginal note: Requirement for appointment (4) The members of the Board must be Canadian citizens or permanent residents within the meaning of subsection 2(1) of the Immigration and Refugee Protection Act . Marginal note: Chairperson and Vice-Chairpersons (5) The Chairperson and Vice-Chairpersons must have experience and expertise in industrial relations. R.S., 1985, c. L-2, s. 10 1998, c. 26, s. 2 2001, c. 27, s. 215 Marginal note: Residence of members Section 10.1 (1) The full-time members of the Board must reside in the National Capital Region as described in the schedule to the National Capital Act or within the distance from the National Capital Region that is determined by the Governor in Council. Marginal note: Exemption (2) The Governor in Council may, by order, exempt a member from the requirement set out in subsection (1), subject to any conditions that the Governor in Council may prescribe. 1998, c. 26, s. 2 2017, c. 20, s. 321 Previous Version Marginal note: Full-time occupation"
